#query	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000001_00167	COG1472@1|root,COG1472@2|Bacteria,1MVAJ@1224|Proteobacteria,1RMQF@1236|Gammaproteobacteria,1Y9XI@135625|Pasteurellales	135625|Pasteurellales	G	Glycosyl hydrolase family 3 N terminal domain	-	-	3.2.1.52	ko:K01207	ko00520,ko00531,ko01100,ko01501,map00520,map00531,map01100,map01501	M00628	R00022,R05963,R07809,R07810,R10831	RC00049	ko00000,ko00001,ko00002,ko01000	-	-	-	Glyco_hydro_3
MGYG000000001_02585	COG0197@1|root,COG0197@2|Bacteria,1V1AY@1239|Firmicutes,24FQX@186801|Clostridia,25RA4@186804|Peptostreptococcaceae	186801|Clostridia	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	rplP	-	-	ko:K02878	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L16
MGYG000000001_02583	COG0186@1|root,COG0186@2|Bacteria,1V9YC@1239|Firmicutes,24MSW@186801|Clostridia,25RSK@186804|Peptostreptococcaceae	186801|Clostridia	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	rpsQ	-	-	ko:K02961	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S17
MGYG000000001_02970	2C4K8@1|root,30FZF@2|Bacteria,1UEX7@1239|Firmicutes,25JWM@186801|Clostridia,36TZ5@31979|Clostridiaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_02756	COG3279@1|root,COG3279@2|Bacteria,1V2KK@1239|Firmicutes,24BYZ@186801|Clostridia,25SMZ@186804|Peptostreptococcaceae	186801|Clostridia	KT	LytTr DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	LytTR,Response_reg
MGYG000000001_02715	COG1600@1|root,COG1600@2|Bacteria,1TP6Q@1239|Firmicutes,248M5@186801|Clostridia,36FFZ@31979|Clostridiaceae	186801|Clostridia	C	iron-sulfur cluster-binding protein	queG	-	1.17.99.6	ko:K18979	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Arm,DUF1730,Fer4_16,HEAT_2,HEAT_PBS
MGYG000000001_01850	COG0534@1|root,COG0534@2|Bacteria,1TPFM@1239|Firmicutes,247J9@186801|Clostridia,25SH6@186804|Peptostreptococcaceae	186801|Clostridia	V	Polysaccharide biosynthesis C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	MatE
MGYG000000001_00386	COG1051@1|root,COG1051@2|Bacteria,1V81X@1239|Firmicutes,24M8P@186801|Clostridia,25RE1@186804|Peptostreptococcaceae	186801|Clostridia	F	Hydrolase, NUDIX family	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX
MGYG000000001_01270	COG1802@1|root,COG1802@2|Bacteria,1V3SB@1239|Firmicutes,24EKV@186801|Clostridia,36GMN@31979|Clostridiaceae	186801|Clostridia	K	PFAM regulatory protein GntR HTH	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
MGYG000000001_01372	2AZZM@1|root,31S9P@2|Bacteria,1V6WH@1239|Firmicutes,2490E@186801|Clostridia,36F80@31979|Clostridiaceae	186801|Clostridia	S	sporulation protein YtxC	ytxC	-	-	-	-	-	-	-	-	-	-	-	YtxC
MGYG000000001_02522	COG2302@1|root,COG2302@2|Bacteria,1U5V2@1239|Firmicutes,24GDV@186801|Clostridia,25RJ4@186804|Peptostreptococcaceae	186801|Clostridia	S	S4 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	DbpA,S4,S4_2
MGYG000000001_00101	2EIJI@1|root,33CAV@2|Bacteria,1VK5E@1239|Firmicutes,24MMQ@186801|Clostridia,25TZC@186804|Peptostreptococcaceae	186801|Clostridia	S	Small, acid-soluble spore proteins, alpha/beta type	-	-	-	-	-	-	-	-	-	-	-	-	SASP
MGYG000000001_01432	2BQKU@1|root,32JGV@2|Bacteria,1UQR2@1239|Firmicutes,24UPD@186801|Clostridia,36P6A@31979|Clostridiaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_01433	2BQKU@1|root,32JGV@2|Bacteria,1UQR2@1239|Firmicutes,24UPD@186801|Clostridia,36P6A@31979|Clostridiaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_00257	COG3583@1|root,COG3584@1|root,COG3583@2|Bacteria,COG3584@2|Bacteria,1TTIK@1239|Firmicutes,24997@186801|Clostridia,36DTZ@31979|Clostridiaceae	186801|Clostridia	S	G5 domain protein	yabE	-	-	-	-	-	-	-	-	-	-	-	3D,DUF348,G5
MGYG000000001_01337	COG1410@1|root,COG1410@2|Bacteria,1UXXG@1239|Firmicutes,24D45@186801|Clostridia,36EY5@31979|Clostridiaceae	186801|Clostridia	E	Pterin binding enzyme	acsE	-	2.1.1.258	ko:K15023	ko00720,ko01120,ko01200,map00720,map01120,map01200	M00377	R02289,R10243	RC00004,RC00113,RC01144,RC02871,RC02977	ko00000,ko00001,ko00002,ko01000	-	-	-	Pterin_bind
MGYG000000001_01272	COG1132@1|root,COG1132@2|Bacteria,1TP0B@1239|Firmicutes,247T8@186801|Clostridia,25QDB@186804|Peptostreptococcaceae	186801|Clostridia	V	ABC transporter transmembrane region	-	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
MGYG000000001_00450	COG0348@1|root,COG0348@2|Bacteria,1UHUA@1239|Firmicutes,24BED@186801|Clostridia,25R8F@186804|Peptostreptococcaceae	186801|Clostridia	C	4Fe-4S binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4,Fer4_5,Fer4_9
MGYG000000001_03112	COG3119@1|root,COG3119@2|Bacteria,1TQEP@1239|Firmicutes,2482B@186801|Clostridia,36G0T@31979|Clostridiaceae	186801|Clostridia	P	Psort location Cytoplasmic, score 9.97	-	-	-	-	-	-	-	-	-	-	-	-	DUF4976,Sulfatase
MGYG000000001_02517	COG2848@1|root,COG2848@2|Bacteria,1TQG8@1239|Firmicutes,247K4@186801|Clostridia,36DX6@31979|Clostridiaceae	186801|Clostridia	S	UPF0210 protein	-	-	-	ko:K09157	-	-	-	-	ko00000	-	-	-	DUF711
MGYG000000001_00262	COG0642@1|root,COG2205@2|Bacteria,1TQMV@1239|Firmicutes,247SE@186801|Clostridia,25S1C@186804|Peptostreptococcaceae	186801|Clostridia	T	PAS domain	-	-	-	-	-	-	-	-	-	-	-	-	ABC_sub_bind,DUF1638,HAMP,HATPase_c,HisKA,PAS,PAS_3,PAS_4,PAS_8,PAS_9,Reg_prop,Y_Y_Y,dCache_1
MGYG000000001_01267	COG0246@1|root,COG0246@2|Bacteria,1TPZU@1239|Firmicutes,248J5@186801|Clostridia,36FPY@31979|Clostridiaceae	186801|Clostridia	G	Belongs to the mannitol dehydrogenase family. UxaB subfamily	uxaB	-	1.1.1.58	ko:K00041	ko00040,ko01100,map00040,map01100	M00631	R02555	RC00085	ko00000,ko00001,ko00002,ko01000	-	-	-	Mannitol_dh,Mannitol_dh_C
MGYG000000001_00963	COG4988@1|root,COG4988@2|Bacteria,1TQ1P@1239|Firmicutes,248SV@186801|Clostridia,36DZT@31979|Clostridiaceae	186801|Clostridia	V	ABC transporter transmembrane region	cydD	-	-	ko:K06147,ko:K06148,ko:K16013	ko02010,map02010	-	-	-	ko00000,ko00001,ko02000	3.A.1,3.A.1.106,3.A.1.109,3.A.1.129,3.A.1.21	-	-	ABC_membrane,ABC_tran
MGYG000000001_02000	2AUKD@1|root,31K93@2|Bacteria,1V6PK@1239|Firmicutes,24J91@186801|Clostridia,25SMC@186804|Peptostreptococcaceae	186801|Clostridia	S	Stage II sporulation protein R (spore_II_R)	spoIIR	-	-	ko:K06387	-	-	-	-	ko00000	-	-	-	Spore_II_R
MGYG000000001_02201	COG2038@1|root,COG2038@2|Bacteria,1TPC1@1239|Firmicutes,25DH5@186801|Clostridia,25R55@186804|Peptostreptococcaceae	186801|Clostridia	F	Catalyzes the synthesis of alpha-ribazole-5'-phosphate from nicotinate mononucleotide (NAMN) and 5,6- dimethylbenzimidazole (DMB)	cobT	-	2.4.2.21	ko:K00768	ko00860,ko01100,map00860,map01100	M00122	R04148	RC00033,RC00063	ko00000,ko00001,ko00002,ko01000	-	-	-	DBI_PRT
MGYG000000001_01229	COG1585@1|root,COG1585@2|Bacteria,1VAS9@1239|Firmicutes,25JA9@186801|Clostridia,25RPI@186804|Peptostreptococcaceae	186801|Clostridia	OU	NfeD-like C-terminal, partner-binding	-	-	-	-	-	-	-	-	-	-	-	-	NfeD
MGYG000000001_00455	2BRA3@1|root,32K8M@2|Bacteria,1URR9@1239|Firmicutes,24WIG@186801|Clostridia,25TYC@186804|Peptostreptococcaceae	186801|Clostridia	S	Protein of unknown function (DUF2975)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2975
MGYG000000001_00521	COG1121@1|root,COG1121@2|Bacteria,1TQ68@1239|Firmicutes,248F1@186801|Clostridia,36I3C@31979|Clostridiaceae	186801|Clostridia	P	ABC transporter	zurA	-	-	ko:K09817	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ABC_tran,RNA_helicase,Zeta_toxin
MGYG000000001_01163	COG4816@1|root,COG4816@2|Bacteria,1MY5F@1224|Proteobacteria,2UNQY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	BMC	-	-	-	-	-	-	-	-	-	-	-	-	BMC
MGYG000000001_00937	COG1475@1|root,COG1475@2|Bacteria,1TQ2B@1239|Firmicutes,249VV@186801|Clostridia,36DTS@31979|Clostridiaceae	186801|Clostridia	K	Belongs to the ParB family	spo0J	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	HTH_3,KorB,ParBc
MGYG000000001_00776	COG2207@1|root,COG2207@2|Bacteria,1V0Z0@1239|Firmicutes,24BNN@186801|Clostridia,36I3B@31979|Clostridiaceae	186801|Clostridia	K	PFAM helix-turn-helix- domain containing protein, AraC type	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18,HTH_AraC
MGYG000000001_01776	COG4461@1|root,COG4461@2|Bacteria,1VDVF@1239|Firmicutes,24N0M@186801|Clostridia	186801|Clostridia	S	Domain of unknown function (DUF4163)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3298,DUF4163
MGYG000000001_02434	COG1570@1|root,COG1570@2|Bacteria,1TP4E@1239|Firmicutes,247KE@186801|Clostridia,36EU5@31979|Clostridiaceae	186801|Clostridia	L	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	xseA	-	3.1.11.6	ko:K03601	ko03430,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Exonuc_VII_L,tRNA_anti_2
MGYG000000001_00061	COG1117@1|root,COG1117@2|Bacteria,1TP1M@1239|Firmicutes,247RD@186801|Clostridia,36DJ4@31979|Clostridiaceae	186801|Clostridia	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	pstB	-	3.6.3.27	ko:K02036	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7	-	-	ABC_tran
MGYG000000001_01722	2DNYR@1|root,32ZTQ@2|Bacteria,1UE0V@1239|Firmicutes,249H8@186801|Clostridia,36F29@31979|Clostridiaceae	186801|Clostridia	S	APOBEC-like N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Toxin-deaminase
MGYG000000001_02236	COG1763@1|root,COG1763@2|Bacteria,1VFA0@1239|Firmicutes,24IYN@186801|Clostridia,25U20@186804|Peptostreptococcaceae	186801|Clostridia	H	Molybdopterin guanine dinucleotide synthesis protein B	mobB	-	2.7.7.77	ko:K03753,ko:K13818	ko00790,ko01100,map00790,map01100	-	R11581	-	ko00000,ko00001,ko01000	-	-	-	MobB,NTP_transf_3
MGYG000000001_02391	COG1473@1|root,COG1473@2|Bacteria,1TPD7@1239|Firmicutes,248AH@186801|Clostridia,25QMJ@186804|Peptostreptococcaceae	186801|Clostridia	E	Psort location Cytoplasmic, score	-	-	-	ko:K01436	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
MGYG000000001_00986	COG0263@1|root,COG0263@2|Bacteria,1TPG6@1239|Firmicutes,2486P@186801|Clostridia,36DG7@31979|Clostridiaceae	186801|Clostridia	E	Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate	proB	-	2.7.2.11	ko:K00931	ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230	M00015	R00239	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	-	AA_kinase,PUA
MGYG000000001_00149	COG0745@1|root,COG0745@2|Bacteria,1TSWT@1239|Firmicutes,248B6@186801|Clostridia,3Y1MT@572511|Blautia	186801|Clostridia	K	COG COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
MGYG000000001_00245	28XYG@1|root,2ZJUD@2|Bacteria,1W2IX@1239|Firmicutes,255XM@186801|Clostridia,25UE9@186804|Peptostreptococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_00375	COG2105@1|root,COG2105@2|Bacteria,1VI81@1239|Firmicutes,4IMP1@91061|Bacilli,1ZKIB@1386|Bacillus	91061|Bacilli	S	Gamma-glutamyl cyclotransferase, AIG2-like	-	-	-	-	-	-	-	-	-	-	-	-	GGACT
MGYG000000001_00407	COG1191@1|root,COG1191@2|Bacteria,1TP3Q@1239|Firmicutes,2487Z@186801|Clostridia,25T00@186804|Peptostreptococcaceae	186801|Clostridia	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	sigF	-	-	ko:K03091	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r3,Sigma70_r4,Sigma70_r4_2
MGYG000000001_00472	COG1670@1|root,COG1670@2|Bacteria,1UHG9@1239|Firmicutes,24I22@186801|Clostridia,36IX3@31979|Clostridiaceae	186801|Clostridia	J	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_3
MGYG000000001_00504	COG5018@1|root,COG5018@2|Bacteria,1VAUM@1239|Firmicutes,25DMJ@186801|Clostridia,25UNC@186804|Peptostreptococcaceae	186801|Clostridia	L	Exonuclease	-	-	-	-	-	-	-	-	-	-	-	-	RNase_T
MGYG000000001_00536	2F8I4@1|root,340WX@2|Bacteria,1VY4X@1239|Firmicutes,251KH@186801|Clostridia	186801|Clostridia	S	Regulatory protein YrvL	-	-	-	-	-	-	-	-	-	-	-	-	YrvL
MGYG000000001_00697	COG0760@1|root,COG0760@2|Bacteria,1TX3R@1239|Firmicutes,25C37@186801|Clostridia,25R9W@186804|Peptostreptococcaceae	186801|Clostridia	M	SurA N-terminal domain	prsA	-	5.2.1.8	ko:K07533	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Rotamase_3,SurA_N_3
MGYG000000001_00729	COG0224@1|root,COG0224@2|Bacteria,1TPBX@1239|Firmicutes,2486Q@186801|Clostridia,25QWV@186804|Peptostreptococcaceae	186801|Clostridia	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	atpG	-	-	ko:K02115	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt
MGYG000000001_00761	COG1193@1|root,COG1193@2|Bacteria,1TQWB@1239|Firmicutes,24A15@186801|Clostridia,25T53@186804|Peptostreptococcaceae	186801|Clostridia	L	Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity	mutS5	-	-	ko:K07456	ko03430,map03430	-	-	-	ko00000,ko00001,ko03400	-	-	-	MutS_V
MGYG000000001_00793	COG0778@1|root,COG1145@1|root,COG0778@2|Bacteria,COG1145@2|Bacteria,1TPKH@1239|Firmicutes,249WN@186801|Clostridia,36FJJ@31979|Clostridiaceae	186801|Clostridia	C	binding domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Fer4,Fer4_10,Fer4_4,Fer4_9,Nitroreductase
MGYG000000001_00825	COG0777@1|root,COG0777@2|Bacteria,1TP4U@1239|Firmicutes,248QK@186801|Clostridia,25R26@186804|Peptostreptococcaceae	186801|Clostridia	I	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	accD	-	2.1.3.15,6.4.1.2	ko:K01962,ko:K01963	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04386	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	iHN637.CLJU_RS20740	ACCA,Carboxyl_trans
MGYG000000001_01348	COG0369@1|root,COG1151@2|Bacteria,1TRSC@1239|Firmicutes,248HQ@186801|Clostridia,36DKP@31979|Clostridiaceae	186801|Clostridia	C	TIGRFAM Carbon-monoxide dehydrogenase, catalytic subunit	cooS1	-	1.2.7.4	ko:K00198	ko00633,ko00680,ko00720,ko01120,ko01200,map00633,map00680,map00720,map01120,map01200	M00377	R07157,R08034	RC00250,RC02800	ko00000,ko00001,ko00002,ko01000	-	-	-	Prismane
MGYG000000001_01066	COG0461@1|root,COG0461@2|Bacteria,1V1BZ@1239|Firmicutes,25CGM@186801|Clostridia,36FPJ@31979|Clostridiaceae	186801|Clostridia	F	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)	pyrE	-	2.4.2.10	ko:K00762	ko00240,ko01100,map00240,map01100	M00051	R01870	RC00611	ko00000,ko00001,ko00002,ko01000	-	-	-	Pribosyltran
MGYG000000001_00406	28PNE@1|root,2ZCB6@2|Bacteria,1V214@1239|Firmicutes,4HFTI@91061|Bacilli,2Y98Z@289201|Pontibacillus	91061|Bacilli	S	Stage V sporulation protein AA	spoVAA	-	-	ko:K06403	-	-	-	-	ko00000	-	-	-	SporV_AA
MGYG000000001_01852	COG0714@1|root,COG0714@2|Bacteria,1U8NZ@1239|Firmicutes,248X1@186801|Clostridia,36EYQ@31979|Clostridiaceae	186801|Clostridia	S	associated with various cellular activities	-	-	-	-	-	-	-	-	-	-	-	-	AAA,AAA_5
MGYG000000001_02657	COG3275@1|root,COG3275@2|Bacteria,1UZUT@1239|Firmicutes,25BAU@186801|Clostridia,25SUX@186804|Peptostreptococcaceae	186801|Clostridia	T	phosphorelay sensor kinase activity	-	-	-	ko:K16923	-	M00582	-	-	ko00000,ko00002,ko02000	3.A.1.28	-	-	ECF_trnsprt
MGYG000000001_01370	COG0441@1|root,COG0441@2|Bacteria,1TP78@1239|Firmicutes,248CH@186801|Clostridia,36DPZ@31979|Clostridiaceae	186801|Clostridia	J	Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)	thrS	-	6.1.1.3	ko:K01868	ko00970,map00970	M00359,M00360	R03663	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD
MGYG000000001_01346	COG2759@1|root,COG2759@2|Bacteria,1TP6N@1239|Firmicutes,247P5@186801|Clostridia,25QRD@186804|Peptostreptococcaceae	186801|Clostridia	H	Formyltetrahydrofolate synthetase	fhs	-	6.3.4.3	ko:K01938	ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200	M00140,M00377	R00943	RC00026,RC00111	ko00000,ko00001,ko00002,ko01000	-	-	-	FTHFS
MGYG000000001_02466	COG2131@1|root,COG2131@2|Bacteria,1V3PU@1239|Firmicutes,24HF0@186801|Clostridia,25TFT@186804|Peptostreptococcaceae	186801|Clostridia	F	MafB19-like deaminase	comEB	-	3.5.4.12	ko:K01493	ko00240,ko01100,map00240,map01100	M00429	R01663	RC00074	ko00000,ko00001,ko00002,ko01000,ko02044	-	-	-	dCMP_cyt_deam_1
MGYG000000001_02984	COG1242@1|root,COG1242@2|Bacteria,1TQ57@1239|Firmicutes,247U3@186801|Clostridia,25QUN@186804|Peptostreptococcaceae	186801|Clostridia	S	radical SAM protein, TIGR01212 family	ytqA	-	-	ko:K07139	-	-	-	-	ko00000	-	-	-	Radical_SAM,Radical_SAM_C
MGYG000000001_02613	COG0328@1|root,COG3341@1|root,COG0328@2|Bacteria,COG3341@2|Bacteria,1V442@1239|Firmicutes,24HSE@186801|Clostridia,25RFV@186804|Peptostreptococcaceae	186801|Clostridia	L	Ribonuclease HI	rnhA	-	3.1.26.4	ko:K03469,ko:K06993	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	Cauli_VI,RNase_H,RVT_3,RnlA_toxin
MGYG000000001_00353	COG0317@1|root,COG0317@2|Bacteria,1TNYZ@1239|Firmicutes,2489A@186801|Clostridia,36EH5@31979|Clostridiaceae	186801|Clostridia	KT	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance	relA	-	2.7.6.5	ko:K00951	ko00230,map00230	-	R00429	RC00002,RC00078	ko00000,ko00001,ko01000	-	-	iHN637.CLJU_RS16615	ACT_4,DHH,DHHA1,HD_4,RelA_SpoT,TGS
MGYG000000001_01110	2EGZP@1|root,33ART@2|Bacteria,1VKPB@1239|Firmicutes,24VKR@186801|Clostridia,36P8M@31979|Clostridiaceae	186801|Clostridia	S	YopX protein	-	-	-	-	-	-	-	-	-	-	-	-	YopX
MGYG000000001_00084	2BX75@1|root,32YCI@2|Bacteria,1VEDY@1239|Firmicutes	1239|Firmicutes	S	'small, acid-soluble spore protein	sspB	-	-	ko:K06418,ko:K06419,ko:K06420,ko:K06421	-	-	-	-	ko00000	-	-	-	SASP
MGYG000000001_01462	COG1550@1|root,COG1550@2|Bacteria,1VEHY@1239|Firmicutes,24QJY@186801|Clostridia,36KRZ@31979|Clostridiaceae	186801|Clostridia	S	Protein of unknown function (DUF503)	-	-	-	ko:K09764	-	-	-	-	ko00000	-	-	-	DUF503
MGYG000000001_00250	COG0658@1|root,COG0658@2|Bacteria,1VGSX@1239|Firmicutes,249H4@186801|Clostridia,36EWU@31979|Clostridiaceae	186801|Clostridia	S	ComEC Rec2-related protein	-	-	-	ko:K02238	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	Competence,DUF4131
MGYG000000001_00509	COG3314@1|root,COG3314@2|Bacteria,1TR35@1239|Firmicutes,249N2@186801|Clostridia,36DG3@31979|Clostridiaceae	186801|Clostridia	S	nucleoside recognition domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Gate
MGYG000000001_00541	2FJGI@1|root,34B64@2|Bacteria,1VZZ9@1239|Firmicutes,4IMDQ@91061|Bacilli,1ZJWJ@1386|Bacillus	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_01146	COG3173@1|root,COG3173@2|Bacteria	2|Bacteria	S	very-long-chain-acyl-CoA dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	APH
MGYG000000001_02080	COG4555@1|root,COG4555@2|Bacteria,1UHYH@1239|Firmicutes,25E73@186801|Clostridia,25QSE@186804|Peptostreptococcaceae	186801|Clostridia	CP	ABC transporter	natA	-	3.6.3.7	ko:K09697	ko02010,ko02020,map02010,map02020	M00253	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.115	-	-	ABC_tran
MGYG000000001_02952	COG0534@1|root,COG0534@2|Bacteria,1TPFM@1239|Firmicutes,247J9@186801|Clostridia,25S2V@186804|Peptostreptococcaceae	186801|Clostridia	V	Polysaccharide biosynthesis C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	MatE
MGYG000000001_01203	COG0772@1|root,COG0772@2|Bacteria,1TPT7@1239|Firmicutes,24894@186801|Clostridia,36EE6@31979|Clostridiaceae	186801|Clostridia	D	Belongs to the SEDS family	ftsW	-	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
MGYG000000001_01178	COG0769@1|root,COG0769@2|Bacteria,1TPQE@1239|Firmicutes,248Q4@186801|Clostridia,36DF8@31979|Clostridiaceae	186801|Clostridia	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan	murE	-	6.3.2.13	ko:K01928	ko00300,ko00550,map00300,map00550	-	R02788	RC00064,RC00090	ko00000,ko00001,ko01000,ko01011	-	-	-	AA_kinase,Mur_ligase,Mur_ligase_C,Mur_ligase_M
MGYG000000001_03178	COG4149@1|root,COG4149@2|Bacteria,1TRNA@1239|Firmicutes,24BR9@186801|Clostridia,25RE6@186804|Peptostreptococcaceae	186801|Clostridia	P	Binding-protein-dependent transport system inner membrane component	modB	-	-	ko:K02018	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.8	-	-	BPD_transp_1
MGYG000000001_00647	COG3543@1|root,COG3543@2|Bacteria,1VFVM@1239|Firmicutes,24R1N@186801|Clostridia,36KX0@31979|Clostridiaceae	186801|Clostridia	S	Protein of unknown function (DUF1284)	-	-	-	ko:K09706	-	-	-	-	ko00000	-	-	-	DUF1284
MGYG000000001_00429	COG3359@1|root,COG3359@2|Bacteria,1U725@1239|Firmicutes,24A9V@186801|Clostridia,25RYT@186804|Peptostreptococcaceae	186801|Clostridia	L	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB	-	-	-	ko:K07502	-	-	-	-	ko00000	-	-	-	RNase_H_2
MGYG000000001_00494	2BM8C@1|root,32FS2@2|Bacteria,1UF0G@1239|Firmicutes,252JJ@186801|Clostridia,25U3K@186804|Peptostreptococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_00622	COG4088@1|root,COG4088@2|Bacteria,1UN6T@1239|Firmicutes,25GYA@186801|Clostridia,36V7Y@31979|Clostridiaceae	186801|Clostridia	F	SIR2-like domain	-	-	-	-	-	-	-	-	-	-	-	-	SIR2_2
MGYG000000001_00815	COG1609@1|root,COG1609@2|Bacteria,1TPZJ@1239|Firmicutes,4HC9Z@91061|Bacilli,1ZD8J@1386|Bacillus	91061|Bacilli	K	Transcriptional regulator	lacR	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
